freed001: ['573', '0.18256310', '0.15229358', '0.16150671'] 
bourm001: ['703', '0.20009544', '0.10247350', '0.16148445'] 
pagaa001: ['661', '0.18283746', '0.10544816', '0.16148445'] 
walkn001: ['533', '0.18807214', '0.15418503', '0.16115196'] 
riosa002: ['644', '0.16895147', '0.15409310', '0.16103655'] 
arenj001: ['377', '0.19727616', '0.17868339', '0.16102470'] 
penac001: ['609', '0.19455516', '0.12723657', '0.16094987'] 
betew001: ['381', '0.18114875', '0.13993174', '0.16080843'] 
ankir001: ['173', '0.18764637', '0.12213740', '0.16015625'] 
venaw001: ['491', '0.17546849', '0.11594203', '0.15994713'] 
konep001: ['603', '0.16839358', '0.13368055', '0.15980861'] 
ellim001: ['466', '0.20232393', '0.08611111', '0.15976331'] 
middw001: ['287', '0.18223310', '0.18936877', '0.15975733'] 
cespy001: ['541', '0.15992032', '0.16036037', '0.15971516'] 
lucrj001: ['348', '0.18131423', '0.16483517', '0.15958300'] 
fulds001: ['110', '0.19879797', '0.07352941', '0.15953307'] 
kaaik001: ['141', '0.18228664', '0.14423077', '0.15935335'] 
schnb001: ['107', '0.19641969', '0.10958904', '0.15916955'] 
cozaz001: ['602', '0.19210704', '0.08604651', '0.15896821'] 
younc004: ['366', '0.18373531', '0.12500000', '0.15895711'] 
cuddm001: ['395', '0.17668656', '0.15422885', '0.15889212'] 
gomem001: ['114', '0.19658849', '0.18000001', '0.15877438'] 
doumr001: ['531', '0.17186162', '0.15853658', '0.15873960'] 
abreb001: ['258', '0.19441070', '0.12844037', '0.15870968'] 
aokin001: ['589', '0.19213174', '0.10474309', '0.15870401'] 
coopd002: ['150', '0.17498401', '0.09401710', '0.15869565'] 
trumm001: ['589', '0.18105717', '0.16501650', '0.15863746'] 
murpd005: ['534', '0.18071327', '0.12621360', '0.15863229'] 
reynm001: ['539', '0.19825320', '0.14065510', '0.15852989'] 
philb001: ['627', '0.17798862', '0.16237624', '0.15835476'] 
pench001: ['688', '0.18377393', '0.17961165', '0.15834077'] 
wellc001: ['332', '0.17762883', '0.14772727', '0.15805471'] 
smits002: ['462', '0.17813529', '0.14285715', '0.15796430'] 
cruzl001: ['299', '0.15792769', '0.16929133', '0.15789473'] 
rossc001: ['531', '0.18250513', '0.16044776', '0.15780911'] 
pears001: ['199', '0.17761905', '0.17449665', '0.15780142'] 
carpm002: ['342', '0.18884006', '0.13662791', '0.15766551'] 
victs001: ['668', '0.18432736', '0.11290322', '0.15764828'] 
rasmc001: ['631', '0.18066348', '0.15238096', '0.15730338'] 
peres002: ['306', '0.15799493', '0.13310580', '0.15721393'] 
betay001: ['229', '0.18329313', '0.22023809', '0.15718563'] 
tabaj002: ['378', '0.18685533', '0.06513410', '0.15659069'] 
mccab002: ['488', '0.18832409', '0.16589862', '0.15652174'] 
swisn001: ['625', '0.19534311', '0.16019417', '0.15644725'] 
