gonzc001	0.16844268,0.15024233,0.16411483
gonzm002	0.19658719,0.09448819,0.15384616
gorda001	0.19824316,0.12478921,0.1867333
gordd002	0.18400843,0.08035714,0.13240418
gosea001	0.19480519,0.07801419,0.13286713
granc001	0.19218029,0.15789473,0.16336842
grany001	0.18367347,0.16888888,0.1636598
greet004	0.18974435,0.12809917,0.15602094
greet005	0.17400962,0.13861386,0.12596402
gutif001	0.21537443,0.20454545,0.20596206
guzmj005	0.18754433,0.18972331,0.16157636
gwynt002	0.17931153,0.08,0.12741312
hafnt001	0.16549006,0.16309012,0.15570176
hairj002	0.18658136,0.16564417,0.18157181
hairs001	0.17322056,0.16991644,0.16478555
hamec001	0.15139212,0.06329114,0.096525095
hamij003	0.17039046,0.18679775,0.17777778
hanir001	0.18215466,0.10687023,0.15413892
hannj001	0.18241134,0.1010101,0.13226452
hardj003	0.19154531,0.12349914,0.14882629
harpb003	0.18789427,0.11666667,0.17078297
harrj002	0.16795866,0.0787037,0.12974297
hartc001	0.18679428,0.13253012,0.15626383
hayeb001	0.18044515,0.054545455,0.11111111
headc001	0.19591755,0.20102215,0.19625741
hecha001	0.18345323,0.15306123,0.14745308
heisc001	0.18519501,0.11146497,0.14875323
heltt001	0.18949343,0.11838006,0.13636364
herng001	0.19748014,0.13084112,0.15227273
hernr002	0.15852286,0.13114753,0.113182425
herre001	0.18570827,0.10344828,0.15384616
herrj002	0.18197949,0.05172414,0.12437186
hestj001	0.17881072,0.04761905,0.10985915
heywj001	0.18151546,0.14878893,0.17376408
hilla001	0.17789586,0.14169382,0.18431002
hinse001	0.17385827,0.13829787,0.14043583
hollm001	0.17791009,0.15151516,0.1663158
hosme001	0.18066761,0.12981744,0.1472192
howar001	0.18917283,0.20921986,0.15400411
hudso001	0.18719889,0.13636364,0.13138686
huffa001	0.19361591,0.115384616,0.15384616
hundn001	0.18448314,0.1411043,0.10977443
huntt001	0.16921405,0.15132606,0.1534091
iannc001	0.18153527,0.09848485,0.14285715
ibanr001	0.17382199,0.15102975,0.14204185
infao001	0.17055957,0.112526536,0.1441291
ingeb001	0.18003064,0.15745856,0.12876935
ishit001	0.17875712,0.16042781,0.15088283
iztuc001	0.15361111,0.08552632,0.11545624
iztum001	0.19586207,0.07984791,0.13091642
jacka001	0.20899385,0.13218391,0.18065205
jackb002	0.18176419,0.07826087,0.15102975
janip001	0.1727567,0.06358381,0.120287254
jasoj001	0.19055201,0.17905405,0.18951242
jay-j001	0.1788031,0.08995816,0.14233798
jennd002	0.18866493,0.0970297,0.14652224
jeted001	0.16981703,0.0828877,0.1420256
johnc003	0.19444695,0.18414919,0.16771357
johne002	0.17976879,0.13461539,0.14002089
johnk003	0.19090544,0.10826772,0.14743236
johnn001	0.18464121,0.14772727,0.13793103
johnr008	0.19960757,0.11640212,0.17527173
jonea002	0.16942278,0.108024694,0.12803105
jonea003	0.16993064,0.1451876,0.17235188
jonec004	0.1604236,0.15827338,0.17156528
joneg002	0.17598486,0.19654427,0.17178276
joycm001	0.18712254,0.15403423,0.16424802
kaaik001	0.18228664,0.14423077,0.15935335
kalir001	0.16666667,0.06315789,0.104166664
